Year,Month,Day,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1981,1,2,10.82,5.09,7.95,11.13,8.91,16.41,7.51
1981,1,3,10.74,6.97,8.85,10.84,8.29,15.64,7.35
1981,1,4,11.17,6.86,9.01,10.93,7.53,15.99,8.46
1981,1,5,10.2,6.62,8.41,10.66,8.73,15.6,6.87
1981,1,6,10.35,7.69,9.02,10.92,10.21,16.16,5.95
1981,1,7,12.26,6.32,9.3,12.06,8.95,18.24,9.3
1981,1,8,12.76,6.72,9.73,12.51,10.51,19.23,8.72
1981,1,9,12.61,7.95,10.28,11.88,8.89,17.8,8.9
1981,1,10,12.19,9.03,10.61,12.66,8.26,17.29,9.03
1981,1,11,11.19,5.49,8.34,11.97,5.38,13.3,7.93
1981,1,12,8.22,3.46,5.83,8.83,4.96,11.44,6.48
1981,1,13,9.24,4.94,7.09,9.25,5.91,11.94,6.02
1981,1,14,7.9,1.18,4.55,9.38,7.28,11.51,4.23
1981,1,15,8.19,1.76,4.98,9.16,11.52,14.64,3.12
1981,1,16,11.23,8.09,9.66,11.72,8.84,15.98,7.14
1981,1,17,12.56,9.47,11.01,12.94,5.95,16.41,10.46
1981,1,18,12.24,9.51,10.87,12.57,7.73,17.15,9.44
1981,1,19,11.87,8.48,10.18,11.93,9.45,18.14,8.69
1981,1,20,12.55,8.35,10.45,12.11,10.73,19.4,8.66
1981,1,21,12.88,6.73,9.81,12.45,10.94,19.56,8.62
1981,1,22,13.62,10.36,11.99,13.44,10.02,19.81,9.79
1981,1,23,12.98,9.7,11.34,12.92,7.69,17.62,9.94
1981,1,24,13.55,9.54,11.55,13.43,9.08,19.31,10.23
1981,1,25,14.81,8.34,11.58,13.75,10.73,21.33,10.6
1981,1,26,15.69,10.95,13.32,14.48,5.8,19.08,13.28
1981,1,27,16.6,10.13,13.37,16.22,10.39,23.69,13.3
1981,1,28,15.83,9.15,12.49,15.25,10.11,22.26,12.15
1981,1,29,16.82,5.84,11.33,15.62,11.3,24.24,12.94
1981,1,30,14.6,8.04,11.32,14.08,6.41,18.54,12.12
1981,1,31,14.79,9.91,12.35,14.31,5.52,18.26,12.74
1981,2,1,14.31,9.35,11.83,14.15,8.46,19.3,10.84
1981,2,2,12.09,3.13,7.61,12.15,12.24,19,6.76
1981,2,3,10.4,1.65,6.03,11.25,13.12,17.68,4.55
1981,2,4,11.31,5.44,8.37,11.43,9.39,16.98,7.59
1981,2,5,11.73,8.7,10.22,12.34,7.15,15.9,8.76
1981,2,6,12.58,8.3,10.44,13.15,12.73,19.94,7.21
1981,2,7,14.23,9.61,11.91,14,9.24,19.43,10.19
1981,2,8,15.39,11.89,13.64,15.15,9.64,21.4,11.76
1981,2,9,15.12,11.37,13.24,14.89,8.16,20.3,12.14
1981,2,10,12.15,8.89,10.51,12.6,7.05,15.51,8.46
1981,2,11,10.87,5.74,8.31,11.94,7.14,15.16,8.02
1981,2,12,10.86,5.62,8.24,11.53,5.15,14.1,8.94
1981,2,13,11.56,5.14,8.35,11.95,9.76,17.02,7.26
1981,2,14,14.34,4.86,9.6,13.62,11.15,20.41,9.26
1981,2,15,13.59,7.72,10.65,13.2,7.06,18.41,11.35
1981,2,16,10.83,8.48,9.65,11.01,1.35,11.54,10.19
1981,2,17,12.86,9.07,10.96,12.65,7.24,17.4,10.16
1981,2,18,12.15,8.23,10.19,12.35,7.34,16.69,9.33
1981,2,19,11.07,7.73,9.4,11.66,5.98,14.47,8.48
1981,2,20,11.61,7.37,9.48,12.43,4.6,14.25,9.65
1981,2,21,11.33,4.24,7.79,12.15,7.7,15.78,8.08
1981,2,22,11.25,4.4,7.83,12.12,11.55,17.32,5.76
1981,2,23,12.86,8,10.43,13.57,8.74,18.22,9.48
1981,2,24,14.15,7.37,10.76,14.65,12.61,21.62,9.01
1981,2,25,15.4,6.32,10.86,15.26,14.2,23.65,9.45
1981,2,26,16.63,6.27,11.45,16.19,10.17,22.74,12.57
1981,2,27,17.38,8.04,12.71,16.98,9.11,23.31,14.2
1981,2,28,16.24,11.81,14.02,16.12,6.03,19.69,13.66
1981,3,1,15.51,12.03,13.77,15.73,7.25,19.56,12.31
1981,3,2,14.22,9.58,11.9,15.14,8.59,19.37,10.79
1981,3,3,12.65,8.3,10.48,12.87,7.46,16.44,8.98
1981,3,4,13.4,8.51,10.95,14.24,7.05,17.47,10.43
1981,3,5,13.53,8.16,10.84,14.29,11.56,19.6,8.04
1981,3,6,15.98,9.73,12.86,16.42,12.65,23.43,10.79
1981,3,7,18.72,8.73,13.73,18.23,14.66,26.73,12.06
1981,3,8,18.79,10.55,14.67,18.42,13.05,26.11,13.06
1981,3,9,20.65,9.52,15.08,19.49,14.84,30.16,15.33
1981,3,10,21.81,9.36,15.58,20.15,14.89,30.8,15.9
1981,3,11,22.27,9.73,16.01,20.8,15.3,31.68,16.38
1981,3,12,19.38,10.67,15.03,18.17,8.6,23.7,15.1
1981,3,13,16.57,13.53,15.05,16.37,7.24,20.48,13.23
1981,3,14,16.44,12.28,14.36,16.33,9.64,21.42,11.77
1981,3,15,15.89,11.67,13.78,16.74,7.66,20.38,12.72
1981,3,16,14.72,10.06,12.39,15.75,6.5,18.51,12.01
1981,3,17,14.48,10.08,12.28,15.4,6.82,18.66,11.84
1981,3,18,15.26,7.03,11.15,16.01,12.7,22.26,9.55
1981,3,19,13.72,10.8,12.26,14.04,3.96,16.15,12.19
1981,3,20,14.37,10.46,12.42,15.13,8.02,18.87,10.85
1981,3,21,15.32,10.35,12.83,15.78,10.05,21.5,11.44
1981,3,22,15.4,9.01,12.21,16.31,12.27,22.34,10.07
1981,3,23,16.38,10.31,13.34,17.05,12.38,23.08,10.7
1981,3,24,18.86,10.41,14.63,19.19,14.07,26.8,12.73
1981,3,25,19.71,8.07,13.89,19.3,13.33,27.88,14.56
1981,3,26,17.9,9.41,13.66,18.42,10.13,24.12,13.98
1981,3,27,17.9,9.98,13.94,18.19,10.37,24.16,13.8
1981,3,28,17.82,11.34,14.58,18.19,10.59,23.5,12.91
1981,3,29,15.57,10.12,12.84,16.22,5.75,18.9,13.15
1981,3,30,13.91,9.55,11.73,14.89,5.16,16.87,11.72
1981,3,31,14.53,9.81,12.17,15.64,7.68,18.83,11.15
1981,4,1,14.99,8.03,11.51,16.2,12.56,21.94,9.37
1981,4,2,15.3,11.12,13.21,15.76,5.55,18.24,12.69
1981,4,3,15.01,9.15,12.08,16.05,8.14,19.76,11.62
1981,4,4,15.49,9.47,12.48,16.44,11.13,21.5,10.37
1981,4,5,15.37,11.41,13.39,16.02,6.2,19.27,13.07
1981,4,6,15.65,9.92,12.79,16.6,10.29,21.63,11.34
1981,4,7,16.07,12.16,14.12,16.41,8.47,20.69,12.23
1981,4,8,19.48,12.12,15.8,18.86,13.38,27.49,14.12
1981,4,9,19.73,12.77,16.26,19.19,15.16,31.02,15.86
1981,4,10,18.05,12.34,15.19,18.65,10.54,24.15,13.62
1981,4,11,16.94,12.58,14.76,17.75,8.88,22.36,13.48
1981,4,12,16.64,11.42,14.03,17.55,7.67,21.01,13.33
1981,4,13,16.63,10.98,13.8,17.74,8.72,21.55,12.83
1981,4,14,15.88,11.24,13.56,16.58,7.96,20.3,12.33
1981,4,15,16.58,12.06,14.32,17.51,7.59,20.88,13.3
1981,4,16,14.93,9.12,12.02,16.56,7.86,19.4,11.54
1981,4,17,15.43,10.05,12.73,16.87,7.15,19.47,12.31
1981,4,18,16.65,10.43,13.54,17.53,10.65,22.6,11.95
