date,T2M_RANGE,T2MDEW,T2M_MAX,T2M_MIN,T2M,PRECTOT,QV2M,RH2M,PS,WS10M_RANGE,WS10M_MIN,TS,WS10M_MAX,WS10M
02/01/1981,4.13,7.52,15.68,11.55,13.21,0.00,6.44,69.44,102.41,3.17,0.54,14.30,3.71,2.42
03/01/1981,4.22,8.43,15.29,11.06,12.90,0.01,6.79,74.56,102.13,2.20,0.56,14.15,2.75,1.88
04/01/1981,3.75,8.11,15.48,11.73,13.03,0.07,6.63,72.18,102.06,2.49,0.34,14.18,2.84,1.38
05/01/1981,4.66,08.09,15.21,10.55,12.34,0.27,6.64,75.45,101.95,3.81,0.19,14.09,3.99,2.35
06/01/1981,5.10,9.71,15.53,10.43,12.83,0.00,7.44,81.79,101.83,3.67,1.93,14.13,5.60,4.10
07/01/1981,3.82,8.97,16.33,12.52,13.80,0.00,7.14,73.71,101.82,3.54,0.69,14.51,4.23,2.32
08/01/1981,5.14,10.02,17.63,12.49,14.63,0.00,7.71,75.35,101.74,3.21,3.15,14.74,6.35,4.43
09/01/1981,4.16,9.38,16.41,12.25,14.05,0.00,7.28,73.80,101.70,03.02,0.57,14.49,3.59,2.12
10/01/1981,3.67,10.31,16.03,12.36,13.89,0.15,7.75,79.20,101.45,4.32,01.05,14.88,5.37,2.73
11/01/1981,3.34,6.24,13.63,10.29,12.49,4.58,5.97,66.71,101.07,5.33,3.46,14.39,8.79,6.33
12/01/1981,3.26,5.12,12.66,9.40,10.65,14.66,5.46,68.92,101.14,03.02,2.92,13.00,5.94,4.75
13/01/1981,3.71,6.52,13.37,9.66,11.92,7.10,06.03,70.21,101.42,6.35,2.12,13.21,8.48,5.51
14/01/1981,3.67,3.62,12.05,8.38,10.26,0.02,4.90,64.08,102.10,4.31,4.55,13.13,8.87,5.90
15/01/1981,6.21,4.88,14.34,8.12,11.08,1.13,5.41,67.28,102.48,2.81,1.77,13.06,4.58,3.21
16/01/1981,4.82,9.81,15.83,11.00,13.41,0.00,7.47,79.26,102.07,3.88,1.98,14.39,5.86,3.83
17/01/1981,2.89,10.23,16.08,13.19,14.22,0.00,7.65,76.85,101.79,0.95,2.69,14.94,3.64,03.08
18/01/1981,3.85,10.56,16.31,12.46,13.95,0.00,7.83,79.95,101.81,3.97,2.75,14.64,6.72,4.45
19/01/1981,04.07,10.60,16.50,12.42,13.79,0.00,7.89,81.51,101.88,2.76,3.17,14.30,5.92,4.59
20/01/1981,5.60,10.50,17.53,11.93,14.16,0.00,7.86,79.33,101.99,02.05,2.23,14.38,4.29,3.49
21/01/1981,5.87,9.94,17.73,11.86,14.21,0.00,7.68,77.22,101.88,1.95,1.53,14.52,3.48,2.71
22/01/1981,4.93,12.28,17.73,12.80,14.69,0.00,8.86,85.92,101.46,2.11,0.63,14.95,2.74,1.90
23/01/1981,3.50,11.25,16.11,12.61,14.06,0.00,8.26,83.42,101.31,02.09,0.59,14.66,2.68,1.67
24/01/1981,4.16,11.45,16.94,12.77,14.46,0.00,8.41,82.57,101.17,3.17,1.94,14.92,5.11,3.54
25/01/1981,5.33,10.47,18.51,13.18,15.51,0.00,7.92,72.75,101.15,3.17,0.66,15.06,3.83,2.86
26/01/1981,2.93,12.76,18.02,15.09,16.31,0.02,9.11,79.88,101.77,6.21,0.80,15.52,07.02,3.89
27/01/1981,5.47,12.08,20.07,14.60,16.54,0.03,8.72,75.52,101.98,4.76,2.71,16.26,7.47,4.93
28/01/1981,5.48,11.51,19.40,13.92,16.14,0.00,8.41,74.76,102.00,04.03,0.53,15.85,4.56,2.91
29/01/1981,06.07,9.22,20.55,14.48,16.71,0.00,7.33,62.79,101.84,3.19,0.18,16.00,3.37,1.85
30/01/1981,3.23,11.15,17.36,14.13,15.47,0.13,8.27,76.45,101.65,5.45,0.96,15.28,6.41,3.48
31/01/1981,3.78,11.33,17.81,14.03,15.62,1.17,8.28,75.79,101.58,3.31,2.91,15.41,6.22,4.66
01/02/1981,4.92,11.10,18.05,13.12,15.25,1.16,8.16,76.74,101.99,3.72,1.83,15.27,5.54,3.68
02/02/1981,6.28,6.40,16.99,10.72,13.70,0.00,06.02,62.98,102.40,03.05,5.90,14.34,8.94,7.36
03/02/1981,6.51,5.29,15.93,9.42,12.50,0.01,5.59,63.23,102.33,4.83,03.06,13.84,7.88,5.79
04/02/1981,4.55,8.14,15.79,11.24,13.13,0.02,6.76,73.14,102.08,4.58,0.36,13.98,4.94,2.77
05/02/1981,3.28,9.78,15.29,12.02,13.33,0.17,7.45,79.20,101.77,3.58,1.61,14.41,5.20,3.62
06/02/1981,6.50,9.94,17.65,11.15,14.05,0.00,7.56,76.64,101.69,2.60,2.44,14.79,05.04,04.07
07/02/1981,4.76,11.80,17.66,12.90,15.12,0.00,8.63,81.64,101.78,4.49,0.96,15.15,5.45,2.54
08/02/1981,4.68,13.42,18.61,13.93,15.76,0.10,9.51,86.32,101.75,3.87,0.61,15.69,4.48,2.40
09/02/1981,4.12,13.18,18.23,14.11,15.68,0.08,9.40,85.62,101.61,2.90,0.90,15.61,3.80,2.84
10/02/1981,04.01,09.09,15.13,11.12,13.32,0.94,7.18,76.19,101.50,3.35,2.89,14.50,6.25,4.63
11/02/1981,3.36,07.09,14.42,11.06,12.46,0.00,6.25,69.86,101.02,3.24,3.84,14.19,07.09,5.69
12/02/1981,2.81,6.60,14.18,11.37,12.46,0.42,06.09,67.45,100.13,2.54,1.74,14.03,4.27,3.16
13/02/1981,5.82,6.62,16.28,10.46,13.27,0.36,6.16,64.51,99.81,4.93,0.76,14.26,5.70,04.07
14/02/1981,7.29,7.95,19.50,12.21,15.47,0.18,6.84,62.12,99.82,5.51,0.89,15.06,6.40,4.29
15/02/1981,3.90,9.74,17.20,13.30,14.74,3.62,7.61,72.47,99.90,6.20,0.57,14.80,6.77,4.84
16/02/1981,0.67,9.64,13.22,12.55,12.89,1.59,7.47,80.77,100.49,3.78,0.65,13.80,4.43,2.67
17/02/1981,3.68,10.25,16.47,12.79,14.28,0.30,7.72,76.80,101.22,2.48,1.29,14.56,3.76,2.51
18/02/1981,3.65,8.95,15.54,11.89,13.50,0.04,07.05,73.97,101.52,3.54,1.25,14.37,4.80,2.67
19/02/1981,2.94,8.76,14.26,11.31,12.61,0.85,6.98,77.45,101.28,4.32,1.32,13.99,5.63,3.54
20/02/1981,2.69,8.10,14.42,11.72,13.08,3.47,6.67,71.77,101.19,02.05,4.00,14.44,06.06,5.21
21/02/1981,4.14,5.56,15.14,11.00,12.86,0.12,5.59,61.24,101.63,2.34,3.57,14.28,5.91,4.80
22/02/1981,5.92,7.14,16.02,10.10,13.04,0.02,6.34,68.58,101.51,0.99,4.54,14.36,5.53,5.17
23/02/1981,4.41,10.13,16.69,12.28,14.05,0.10,7.72,78.02,101.31,1.67,4.47,14.98,6.15,5.36
24/02/1981,6.36,9.21,18.67,12.31,14.93,0.00,7.26,69.28,101.27,3.34,1.78,15.59,5.12,3.87
25/02/1981,7.96,8.80,20.32,12.37,15.79,0.00,7.12,64.26,101.21,2.94,0.83,15.89,3.77,2.30
26/02/1981,5.81,9.54,19.80,13.99,16.53,0.30,7.54,64.77,100.96,2.15,3.63,16.32,5.78,4.47
27/02/1981,4.96,11.55,20.36,15.40,17.23,0.03,8.68,70.90,100.52,2.58,3.65,16.75,6.23,05.06
28/02/1981,2.98,13.47,18.11,15.12,16.48,0.09,9.63,82.59,100.68,4.49,1.38,16.28,5.87,3.89
01/03/1981,04.01,12.74,17.76,13.74,15.70,0.39,9.17,82.75,100.77,5.18,0.53,16.21,5.70,3.69
02/03/1981,4.33,10.49,17.22,12.89,14.67,0.02,7.85,75.94,100.98,2.56,4.69,15.82,7.25,5.59
03/03/1981,3.77,9.65,15.79,12.02,14.10,0.01,7.46,74.67,100.74,2.95,1.82,14.76,4.78,3.48
04/03/1981,3.22,9.30,16.19,12.97,14.25,0.00,7.27,72.10,100.78,1.58,1.71,15.39,3.30,2.58
05/03/1981,5.71,10.00,17.52,11.81,14.73,0.00,7.66,73.82,100.98,3.16,2.14,15.50,5.30,3.70
06/03/1981,6.19,12.17,19.54,13.34,16.02,0.00,8.87,78.77,101.11,3.30,3.53,16.39,6.83,5.38
07/03/1981,7.93,11.86,21.85,13.92,17.63,0.00,8.80,70.54,101.10,3.48,0.49,17.37,3.97,2.18
08/03/1981,6.72,13.21,21.55,14.83,17.71,0.00,9.51,76.11,101.52,3.41,0.16,17.45,3.57,2.49
09/03/1981,7.79,12.47,23.76,15.97,18.84,0.00,09.08,67.68,101.52,2.51,1.56,18.07,04.07,2.56
10/03/1981,7.60,11.91,24.46,16.86,19.89,0.00,8.72,60.84,101.44,2.46,1.29,18.48,3.76,2.81
11/03/1981,8.68,11.93,26.07,17.38,20.52,0.00,8.74,58.64,101.39,2.70,0.53,18.82,3.24,2.45
12/03/1981,4.35,13.15,20.42,16.08,18.35,0.17,9.50,72.90,101.39,2.60,1.13,17.51,3.73,2.55
13/03/1981,3.46,14.30,18.63,15.16,16.76,0.15,10.11,85.44,101.01,03.03,2.38,16.57,5.41,4.52
14/03/1981,4.91,13.71,19.23,14.32,16.69,0.55,9.80,82.80,100.46,3.80,01.01,16.70,4.81,2.70
15/03/1981,4.16,12.30,18.54,14.38,16.12,1.17,8.92,78.28,100.59,3.56,1.26,16.87,4.82,2.82
16/03/1981,3.24,10.82,17.31,14.07,15.41,1.35,08.05,74.05,100.79,3.16,1.87,16.51,05.03,3.30
17/03/1981,3.40,11.03,17.37,13.97,15.42,0.43,8.14,75.16,101.15,2.67,2.23,16.34,4.90,3.55
18/03/1981,06.09,9.63,18.89,12.80,15.71,0.03,7.59,68.60,100.82,04.08,2.23,16.65,6.31,3.99
19/03/1981,1.60,11.85,15.70,14.10,14.93,3.88,8.67,81.84,100.33,6.18,1.78,15.70,7.96,5.20
20/03/1981,3.54,11.48,17.56,14.02,15.58,1.42,8.41,76.61,100.94,5.43,1.75,16.26,7.19,5.28
21/03/1981,5.58,11.48,19.41,13.83,16.03,0.18,8.37,74.56,101.47,5.32,0.17,16.58,5.49,02.06
22/03/1981,6.30,11.36,19.20,12.89,15.93,0.00,8.42,75.50,101.58,4.51,0.60,16.81,5.11,2.86
23/03/1981,6.10,12.44,19.55,13.45,16.49,0.00,09.02,77.92,101.46,05.05,1.29,17.15,6.34,4.12
24/03/1981,7.25,13.07,21.95,14.70,18.05,0.00,9.46,73.78,101.11,1.95,2.96,18.17,4.91,3.95
25/03/1981,6.80,11.73,22.58,15.78,18.46,0.00,8.84,67.17,101.06,2.63,2.43,18.21,05.05,3.56
26/03/1981,4.76,12.67,20.24,15.48,17.37,0.03,9.25,75.32,101.11,03.06,1.25,17.79,4.31,2.65
27/03/1981,05.09,12.41,20.29,15.19,17.30,0.36,09.07,73.93,100.78,4.41,0.33,17.71,4.75,2.43
28/03/1981,5.91,13.73,20.79,14.88,17.70,3.60,9.89,78.34,100.43,3.82,5.62,17.78,9.44,08.03
29/03/1981,3.72,10.90,17.99,14.28,16.11,06.06,8.11,71.44,100.83,4.37,6.72,16.76,11.09,9.34
30/03/1981,3.16,10.62,16.60,13.44,14.98,9.19,7.92,75.41,101.43,04.02,6.83,16.22,10.85,8.81
31/03/1981,4.22,10.56,17.41,13.19,15.18,1.39,7.85,74.03,101.75,4.85,2.00,16.45,6.86,3.86
01/04/1981,6.65,10.23,18.85,12.20,15.51,1.47,7.82,71.73,101.12,6.97,0.79,16.84,7.76,4.56
02/04/1981,2.94,11.92,17.68,14.74,16.21,5.53,8.68,75.81,100.75,4.93,4.80,16.59,9.74,7.49
03/04/1981,04.05,9.61,18.22,14.17,15.98,0.70,7.42,66.05,101.01,2.29,2.45,16.77,4.73,3.69
04/04/1981,5.17,10.44,18.94,13.77,16.19,0.01,7.85,68.88,100.93,3.67,3.14,16.90,6.81,4.87
05/04/1981,3.28,12.13,17.87,14.59,16.06,0.07,8.79,77.50,100.73,3.43,2.17,16.65,5.60,3.66
06/04/1981,5.28,10.93,19.08,13.80,16.15,0.07,8.13,71.33,100.78,4.46,0.27,17.00,4.73,03.07
07/04/1981,4.38,13.26,19.02,14.63,16.69,0.00,9.50,80.45,100.78,3.47,1.29,16.94,4.76,2.76
08/04/1981,7.26,14.07,22.96,15.71,18.81,0.07,10.03,74.46,100.98,2.93,0.76,18.15,3.69,2.37
09/04/1981,8.41,14.65,24.98,16.58,18.79,0.37,10.47,77.55,100.63,06.02,0.64,18.32,6.66,4.65
10/04/1981,5.71,14.24,21.07,15.35,17.75,0.10,10.15,80.49,100.93,6.85,1.48,17.99,8.32,5.70
11/04/1981,4.39,13.73,19.62,15.23,17.03,0.02,9.76,81.06,100.89,4.55,0.40,17.60,4.95,2.39
12/04/1981,4.26,12.50,19.03,14.77,16.74,0.06,09.02,76.17,100.78,3.37,1.25,17.60,4.62,3.10
13/04/1981,4.13,11.35,19.25,15.12,16.97,0.01,8.35,69.67,101.01,3.35,02.02,17.58,5.36,3.33
14/04/1981,3.67,12.26,18.58,14.91,16.57,0.08,8.83,75.75,101.26,3.93,3.42,17.06,7.35,5.56
15/04/1981,4.22,12.61,19.03,14.82,16.87,0.07,09.03,76.01,101.19,2.69,5.31,17.47,8.00,6.64
16/04/1981,3.48,10.50,17.38,13.90,15.34,0.37,7.88,73.05,101.04,2.90,3.19,17.07,06.09,4.59
17/04/1981,3.79,11.15,17.97,14.18,16.00,0.83,8.26,72.99,100.49,2.85,1.32,17.21,4.17,2.81
18/04/1981,5.40,12.39,19.91,14.51,16.95,0.03,09.04,75.07,100.46,05.08,0.39,17.58,5.46,2.95
19/04/1981,4.39,11.66,19.42,15.03,16.79,0.02,8.52,71.81,100.81,3.95,1.40,17.79,5.35,3.34
